method,side,wind_state,intensity_year_inv,ci_low,ci_high,bandwidth,local_exposure_years,local_observations,weighted_event_count_proxy,monotone_increasing_projection
corrected low-price negative spikes,negative,0.5993988388888895,12.761026292787978,4.22873401928571,21.293318566290246,0.25,1.8773308594965405,8673,5.989167114574402,12.761026292787978
corrected low-price negative spikes,negative,0.6038980666666672,13.057632047359629,4.345550845299881,21.769713249419375,0.25,1.8434251787185734,8488,6.017691922636324,13.057632047359629
corrected low-price negative spikes,negative,0.608397294444445,13.352368284811925,4.4606983401694595,22.24403822945439,0.25,1.8099693186689365,8327,6.041844231769439,13.352368284811925
corrected low-price negative spikes,negative,0.6128965222222228,13.645348383203466,4.574188661883966,22.716508104522966,0.25,1.7769056155239578,8151,6.061624041973749,13.645348383203466
corrected low-price negative spikes,negative,0.6173957500000006,13.935366527483344,4.685585609061253,23.185147445905436,0.25,1.7443477618659329,7976,6.077031353249252,13.935366527483344
corrected low-price negative spikes,negative,0.6218949777777784,14.222083767839345,4.794734980893711,23.64943255478498,0.25,1.7122852782974043,7816,6.088066165595947,14.222083767839345
corrected low-price negative spikes,negative,0.6263942055555561,14.506758564267109,4.90201558409278,24.11150154444144,0.25,1.6805211038739716,7671,6.094728479013838,14.506758564267109
corrected low-price negative spikes,negative,0.6308934333333339,14.788514796024801,5.007080608095574,24.569948983954028,0.25,1.6491225461374441,7528,6.097018293502921,14.788514796024801
corrected low-price negative spikes,negative,0.6353926611111117,15.066836343600368,5.109695461142339,25.0239772260584,0.25,1.6181062752837339,7375,6.094935609063196,15.066836343600368
corrected low-price negative spikes,negative,0.6398918888888895,15.34271631563819,5.2101288789868345,25.47530375228955,0.25,1.587327902162652,7246,6.088480425694666,15.34271631563819
corrected low-price negative spikes,negative,0.6443911166666673,15.614305587219171,5.307675845542983,25.92093532889536,0.25,1.5569447413331245,7084,6.077652743397328,15.614305587219171
corrected low-price negative spikes,negative,0.648890344444445,15.880512261316447,5.40187641881584,26.359148103817056,0.25,1.527016877645388,6969,6.0624525621711856,15.880512261316447
corrected low-price negative spikes,negative,0.6533895722222228,16.14197421971501,5.492847806465527,26.791100632964493,0.25,1.497432668337621,6821,6.0428798820162335,16.14197421971501
corrected low-price negative spikes,negative,0.6578888000000006,16.399054671995117,5.580602082577929,27.217507261412305,0.25,1.4681174795303515,6682,6.0189347029324765,16.399054671995117
corrected low-price negative spikes,negative,0.6623880277777784,16.65067995157128,5.664648530984136,27.636711372158423,0.25,1.4391285022218192,6544,5.990617024919913,16.65067995157128
corrected low-price negative spikes,negative,0.6668872555555562,16.897623320450307,5.745109273084992,28.050137367815623,0.25,1.4103585421431373,6405,5.957926847978543,16.897623320450307
corrected low-price negative spikes,negative,0.671386483333334,17.141254388358192,5.82229048204854,28.460218294667843,0.25,1.3816641508172547,6297,5.920864172108365,17.141254388358192
corrected low-price negative spikes,negative,0.6758857111111117,17.380347002540873,5.895594724881867,28.86509928019988,0.25,1.3531211998126054,6146,5.879428997309381,17.380347002540873
corrected low-price negative spikes,negative,0.6803849388888895,17.611017857324907,5.963502997540131,29.25853271710968,0.25,1.3249935627440699,6024,5.833621323581591,17.611017857324907
corrected low-price negative spikes,negative,0.6848841666666673,17.83627753781745,6.02680977715892,29.645745298475976,0.25,1.2970063150593227,5889,5.783441150924994,17.83627753781745
corrected low-price negative spikes,negative,0.6893833944444451,18.053887987184122,6.0845022541775045,30.02327372019074,0.25,1.2692863683227333,5772,5.728888479339589,18.053887987184122
corrected low-price negative spikes,negative,0.6938826222222229,18.26055547254544,6.135187126233792,30.38592381885709,0.25,1.2420133259034996,5608,5.669963308825379,18.26055547254544
corrected low-price negative spikes,negative,0.6983818500000006,18.454664257637422,6.178010555110474,30.73131796016437,0.25,1.2152300494032675,5484,5.60666563938236,18.454664257637422
corrected low-price negative spikes,negative,0.7028810777777784,18.636004150381837,6.212555682815443,31.05945261794823,0.25,1.1888804974100733,5357,5.538995471010537,18.636004150381837
corrected low-price negative spikes,negative,0.7073803055555562,18.80564031193731,6.23878480234249,31.37249582153213,0.25,1.1628325785300984,5245,5.466952803709907,18.80564031193731
